type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.011433037	126.247421032	202.7			
T	39.011435388	126.247370389	201.1			
T	39.011438843	126.247312780	199.3			
T	39.011444331	126.247253691	197.4			
T	39.011449849	126.247194273	195.1			
T	39.011455409	126.247134529	192.6			
T	39.011460990	126.247074444	190.1			
T	39.011465929	126.247020786	187.8			
T	39.011471264	126.246960291	185.3			
T	39.011476633	126.246899470	183.0			
T	39.011482031	126.246838323	180.9			
T	39.011487453	126.246776851	178.7			
T	39.011492302	126.246721928	176.8			
T	39.011497784	126.246659824	174.7			
T	39.011503301	126.246597382	173.1			
T	39.011508843	126.246534601	171.4			
T	39.011514421	126.246471479	169.8			
T	39.011520025	126.246408008	168.1			
T	39.011524782	126.246351539	166.5			
T	39.011530126	126.246287760	164.5			
T	39.011535493	126.246223648	162.6			
T	39.011540889	126.246159203	160.6			
T	39.011546312	126.246094420	158.7			
T	39.011551762	126.246029297	156.8			
T	39.011556632	126.245971121	155.1			
T	39.011562867	126.245904447	153.2			
T	39.011569352	126.245837102	151.2			
T	39.011575877	126.245769339	149.1			
T	39.011580462	126.245703768	147.1			
T	39.011584521	126.245645297	145.4			
T	39.011589099	126.245579249	143.4			
T	39.011593706	126.245512918	141.5			
T	39.011598331	126.245446292	139.6			
T	39.011602975	126.245379376	137.8			
T	39.011607640	126.245312169	136.0			
T	39.011611975	126.245251936	134.2			
T	39.011617298	126.245183189	132.1			
T	39.011622419	126.245114495	130.0			
T	39.011369185	126.250766284	206.8			
T	39.011369938	126.250712308	206.0			
T	39.011370558	126.250664238	205.3			
T	39.011371257	126.250610122	204.5			
T	39.011371955	126.250555965	203.7			
T	39.011372654	126.250501771	203.1			
T	39.011373355	126.250447537	202.4			
T	39.011374060	126.250393263	201.8			
T	39.011374442	126.250344751	201.2			
T	39.011374676	126.250289971	200.6			
T	39.011374910	126.250235176	201.2			
T	39.011375144	126.250180368	202.1			
T	39.011375378	126.250125547	203.1			
T	39.011375587	126.250076805	203.9			
T	39.011373186	126.250019862	205.0			
T	39.011370764	126.249963043	206.5			
T	39.011368348	126.249906369	208.2			
T	39.011365933	126.249849836	209.9			
T	39.011363530	126.249793450	211.6			
T	39.011361398	126.249743447	213.1			
T	39.011359008	126.249687330	213.8			
T	39.011357935	126.249632134	214.0			
T	39.011357451	126.249577336	214.1			
T	39.011356968	126.249522566	214.2			
T	39.011356485	126.249467823	214.4			
T	39.011356056	126.249419187	214.0			
T	39.011355351	126.249364398	213.2			
T	39.011354381	126.249309535	212.4			
T	39.011353414	126.249254732	211.6			
